10 ns: U U UUU UUU UU
30 ns: U U UUU UUU UU
50 ns: 1 1 000 000 00
70 ns: 1 1 000 000 00
90 ns: 1 1 000 000 00
110 ns: 1 1 000 000 00
130 ns: 1 1 000 000 00
150 ns: 1 1 000 000 00
170 ns: 1 1 000 000 00
190 ns: 1 1 000 000 00
210 ns: 1 1 000 000 00
230 ns: 1 1 000 000 00
250 ns: 1 1 000 000 00
270 ns: 1 1 000 000 00
290 ns: 1 1 000 000 00
310 ns: 1 1 000 000 00
330 ns: 1 1 000 000 00
350 ns: 1 1 000 000 00
370 ns: 1 1 000 000 00
390 ns: 1 1 000 000 00
410 ns: 1 1 000 000 00
430 ns: 1 1 000 000 00
450 ns: 1 1 000 000 00
470 ns: 1 1 000 000 00
490 ns: 1 1 000 000 00
510 ns: 1 1 000 000 00
530 ns: 1 1 000 000 00
550 ns: 1 1 000 000 00
570 ns: 1 1 000 000 00
590 ns: 1 1 000 000 00
610 ns: 1 1 000 000 00
630 ns: 1 1 000 000 00
650 ns: 1 1 000 000 00
670 ns: 1 1 000 000 00
690 ns: 1 1 000 000 00
710 ns: 1 1 000 000 00
730 ns: 1 1 000 000 00
750 ns: 1 1 000 000 00
770 ns: 1 1 000 000 00
790 ns: 1 1 000 000 00
810 ns: 1 1 000 000 00
830 ns: 1 1 000 000 00
850 ns: 1 1 000 000 00
870 ns: 1 1 000 000 00
890 ns: 1 1 000 000 00
910 ns: 1 1 000 000 00
930 ns: 1 1 000 000 00
950 ns: 1 1 000 000 00
970 ns: 1 1 000 000 00
990 ns: 1 1 000 000 00
